DAILY SPECIALS
BRAIN MASALA,$7.95, "A real South Asian delicacy. Lamb brain cooked with butter, onions, tomatoes and authentic spices."
CHICKEN JALFREZI,$6.95, "Delicately cut pieces of chicken breast meat.Sauteed with tomatoes, bellpeppers, onions and flavored withvarious aromatic spices like wholecinnamon sticks and cloves."
CHICKEN KARAHI,$6.95, "Northwestern and Himalayan regionspecialty. Diced chicken cooked with Northernspices, herbs and tomatoesin traditional style."
GOAT KARAHI,$9.95, "Khyber Pass region delicacy whereno feast is complete without this dish.Diced goat cooked with Northernspices, herbs and tomatoes intraditional style."
VEGI BIRYANII,$6.95, "Basmati rice cooked with variety of vegetables and exotic spices."
FOR THEWEIGHT WATCHERS"
KACHUMAR SALAD,$1.00, "Small cut pieces of mixed greens and tomatoestossed together."
RAITA,$2.00, "Cucumber, raisins, cumin seeds and mint."
PAPAD,$1.00, "2 pieces."

SWEET TEMPTATIOS
GULAB JAMAN TAJ MAHAL,$2.00, "Made from fresh pasteurized milk, cream and nuts.Flavored with crushed cardamom seeds. 2 pieces."
BANARSI KHEER,$2.00, "Rice custard flavored with gentle sweet spices likecardamom and cloves. Blended with a variety of nuts"
GAJAR KA HALWA,$3.00, "Carrot cooled in milk flavored with green cardamomserved with pistachio nuts and almonds."

TANDOORI CHARCOAL BARBEQUES
MURGH TIKKA LAHORI,$3.95, "The Sultan's recipe! Supreme chicken breast cut butterfly style or a wholesome leg portion.Lightly marinated in spices and lemon juice. Breast alone is 50c extra."
MURGH BOTI TANDOORI,$6.95, "The queen of tandoor. Tender morsels of boneless chicken breast marinated in a blend ofvinegar and spices, and gently skewered to bake over charcoal."
TANDOORI CHOP,$10.95, "A delectable combination of farm fresh spinach cooked in traditionalPunjabi Masala and brought to perfection in a blend of curried chicken."
TANDOORI BOTI (BEEF),$6.95, "Tender bites of boneless beef marinated and brought to delicious perfection in the tandoor.Served with gentle basting of warm butter."
SEEKH KABAB MUGHLAI,$2.50, "Ground Beef blended with a rare selection of delicious herbs and spices.Barbecued on Skewer and tenderly cooked on charcoal."
SEEKH KABAB MURGH,$2.50, "Ground Chicken blended with a rare selection of delicious herbs and spices."

SHAN-E-TANDOORI
NAAN-A-AKBAR ,$1.50, "Unleavened bread baked in the clay oven at aspecial temperature. Served piping hot."
ONION KULCHA,$2.00, "Tandoori baked bread stuffed withmildly spiced onions and a touch of butter."
GARLIC NAAN,$2.50, "Finely hand-kneaded unleavened doughstuffed with deliciously cooked garlicand baked to a delightful perfectionin the tandoor. It is something different."
ALOO PARATHA,$2.00, "Wheat bread layered with butter."

PUNJABI BASMATI RICE
